Mes,Dia,Cipreses,Rapel,El_Toro,Colbun,Machicura,Canutillar,Pehuenche,Pangue,Ralco,Bocamina_II
Abril,106,688,268,1684,1882,492,3599,2517,1431,1754,8212
Abril,107,901,709,1682,3899,950,3610,3390,1566,1353,8360
Abril,108,879,1072,1649,4180,1128,3561,3260,1471,2292,8301
Abril,109,97,1938,1673,962,330,1866,1869,1215,41,6093
Abril,110,644,1954,1679,2130,497,2875,2212,1446,1542,7447
Abril,111,782,468,1682,3260,288,2472,3846,1251,2079,7594
Abril,112,1059,2782,890,1891,288,3017,1915,1518,2543,7174
Abril,113,800,1917,890,370,288,2543,1439,1227,665,6297
Abril,114,803,1778,885,4198,602,2923,3057,2061,2264,7512
Abril,115,975,1777,880,4959,1139,3282,1572,1751,2486,7917
Abril,116,1061,993,891,6396,1523,3047,1832,2128,2708,7933
Abril,117,881,2077,890,6348,1628,2806,2644,2090,2511,7754
Abril,118,555,2019,882,5601,1589,3095,1684,2076,2710,8138
Abril,119,319,1851,890,6175,960,3198,0,2012,2594,7614
Abril,120,298,1279,910,4896,1151,3043,895,1596,2296,156
